"Title","Year","Album.debut","Duration","Other.releases","Genre","Songwriter","Lead.vocal","Top.50.Billboard"
"Rocky Raccoon",1968,"The Beatles",213,9,"Country, Folk Rock, Pop/Rock","McCartney, with Lennon","McCartney",NA
"Roll Over Beethoven",1963,"UK: With the Beatles US: The Beatles Second Album",168,31,"Rock and Roll, Pop/Rock","Berry","Harrison",NA
"Run for Your Life",1965,"Rubber Soul",138,9,"Rock, Rock and Roll, Pop/Rock","Lennon, with McCartney","Lennon",NA
"Savoy Truffle",1968,"The Beatles",174,7,"Soul, Blues Rock, Hard Rock, Pop/Rock","Harrison","Harrison",NA
"Searchin'",1962,"Anthology 1",156,NA,"Rock and Roll, Pop/Rock","Leiber, Stoller","McCartney",NA
"September in the Rain",1962,"",NA,NA,"Pop/Rock","Al Dubin, Harry Warren","McCartney",NA
"Sexy Sadie",1968,"The Beatles",195,11,"Pop/Rock","Lennon","Lennon",NA
"Sgt. Pepper's Lonely Hearts Club Band (Reprise)",1967,"Sgt. Pepper's Lonely Hearts Club Band",80,6,"Psychedelic Rock, Hard Rock, Pop/Rock","McCartney","McCartney, with Lennon and Harrison",NA
"Sgt. Pepper's Lonely Hearts Club Band",1967,"Sgt. Pepper's Lonely Hearts Club Band",119,14,"Psychedelic Rock, Hard Rock, Pop/Rock","McCartney","McCartney, with Lennon",NA
"Shakin' in the Sixties",1969,"",NA,NA,"Pop/Rock","Lennon","Lennon",NA
"She Came in Through the Bathroom Window",1969,"Abbey Road",117,6,"Rock, Pop/Rock","McCartney","McCartney",NA
"She Loves You",1963,"UK: A Collection of Beatles Oldies US: The Beatles Second Album",138,45,"Rock and Roll, Pop/Rock","Lennon and McCartney","Lennon and McCartney",3
"She Said She Said",1966,"Revolver",157,7,"Psychedelic Rock, Acid Rock[, Pop/Rock","Lennon","Lennon",NA
"She's a Woman",1964,"UK: Rarities US: Beatles '65",183,28,"Rock and Roll, R&B, Pop/Rock","McCartney","McCartney",31
"She's Leaving Home",1967,"Sgt. Pepper's Lonely Hearts Club Band",215,7,"Baroque Pop, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",NA
"Shout",1964,"Anthology 1",135,NA,"Rock and Roll, Gospel, Pop/Rock","Isley, Isley, Isley","Lennon, McCartney, Harrison and Starkey",NA
"Sie Liebt Dich",1964,"UK: Rarities US: Rarities",139,9,"Rock and Roll, Pop/Rock","Lennon and McCartney/Nicolas/Montague","Lennon-McCartney",NA
"Slow Down",1964,"UK: Rock 'n' Roll Music US: Something New",175,21,"Rock and Roll, Pop/Rock","Williams","Lennon",44
"So How Come (No One Loves Me)",1963,"Live at the BBC",114,NA,"Pop/Rock","Bryant, Bryant","Harrison",NA
"Soldier of Love (Lay Down Your Arms)",1963,"Live at the BBC",119,NA,"R&B, Pop/Rock","Cason, Moon","Lennon",NA
"Some Other Guy",1963,"Live at the BBC",121,NA,"Rock and Roll, Pop/Rock","Leiber, Stoller, Barrett","Lennon and McCartney",NA
"Something",1969,"Abbey Road",179,16,"Rock, Pop/Rock","Harrison","Harrison",30
"Sour Milk Sea",1968,"",236,NA,"Hard Rock, Psychedelic Rock, Pop/Rock","Harrison","Harrison",NA
"Step Inside Love/Los Paranoias",1968,"Anthology 3",150,NA,"Folk Rock, Pop/Rock","McCartney (Step Inside Love); Lennon, McCartney, Harrison and Starkey (Los Paranoias)","McCartney",NA
"Strawberry Fields Forever",1966,"Magical Mystery Tour",245,20,"Psychedelic Rock, Art Pop, Psychedelic Pop, Pop/Rock","Lennon","Lennon",33
"Sun King",1969,"Abbey Road",146,6,"Art Pop, Pop/Rock","Lennon","Lennon",NA
"Sure to Fall (In Love with You)",1963,"Live at the BBC",141,NA,"Pop/Rock","Perkins, Claunch, Cantrell","McCartney",NA
"Sweet Little Sixteen",1963,"Live at the BBC",141,NA,"Rock and Roll, Pop/Rock","Berry","Lennon",NA
"Take Good Care of My Baby",1962,"",NA,NA,"Rock and Roll, Pop/Rock","Goffin, King","Harrison",NA
"Taking a Trip to Carolina",1969,"Let It Be... Naked - Fly on the Wall bonus disc",NA,NA,"Pop/Rock","Starkey","Starkey",NA
"Taxman",1966,"Revolver",159,10,"Rock, Hard Rock, Psychedelic Rock, Pop/Rock","Harrison, with uncredited contribution from Lennon","Harrison",NA
"Teddy Boy",1969,"Anthology 3",145,NA,"Folk Rock, Pop/Rock","McCartney","McCartney",NA
"Tell Me What You See",1965,"UK: Help! US: Beatles VI",156,10,"Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",NA
"Tell Me Why",1964,"UK: A Hard Day's Night US: Something New",130,15,"Rock and Roll, Pop/Rock","Lennon","Lennon",NA
"Thank You Girl",1963,"UK: Rarities US: The Beatles Second Album",121,21,"Merseybeat, Pop/Rock","Lennon and McCartney","Lennon and McCartney",46
"That Means a Lot",1965,"Anthology 2",146,NA,"Rock, Pop/Rock","McCartney","McCartney",NA
"That'll Be the Day",1958,"Anthology 1",136,NA,"Rock and Roll, Rockabilly, Pop/Rock","Allison, Holly, Petty","Lennon",NA
"That's All Right (Mama)",1963,"Live at the BBC",176,NA,"Rockabilly, Pop/Rock","Crudup","McCartney",NA
"The Ballad of John and Yoko",1969,"UK: 1967-1970 US: Hey Jude",179,14,"Rock and Roll, Pop/Rock","Lennon","Lennon, with McCartney",28
"The Continuing Story of Bungalow Bill",1968,"The Beatles",198,8,"Folk Rock, Pop/Rock","Lennon","Lennon, with Starkey",NA
"The End",1969,"Abbey Road",140,6,"Hard Rock, Art Rock, Heavy Metal, Pop/Rock","McCartney","McCartney",NA
"The Fool on the Hill",1967,"Magical Mystery Tour",180,15,"Baroque Pop, Pop/Rock","McCartney","McCartney",NA
"The Honeymoon Song",1963,"Live at the BBC",NA,NA,"Pop/Rock","Theodorakis, Sansom","McCartney",NA
"The Inner Light",1968,"UK: Rarities US: Rarities",156,10,"Indian Music, Raga Rock, Pop/Rock","Harrison","Harrison",NA
"The Long and Winding Road",1969,"Let It Be",220,18,"Pop/Rock","McCartney","McCartney",20
"The Night Before",1965,"Help!",153,13,"Electronic Pop/Rock","McCartney","McCartney",NA
"The Saints",1962,"",NA,NA,"Pop/Rock","Traditional, arr. Sheridan","Sheridan",NA
"The Sheik of Araby",1962,"Anthology 1",NA,NA,"Jazz, Pop/Rock","Smith, Wheeler-Snyder","Harrison",NA
"The Word",1965,"Rubber Soul",161,6,"Rock, Pop/Rock","Lennon and McCartney","Lennon, McCartney and Harrison",NA
"There's a Place",1963,"UK: Please Please Me US: Rarities",109,24,"Merseybeat, Rock and Roll, Pop/Rock","Lennon and McCartney","Lennon and McCartney",NA
"Things We Said Today",1964,"UK: A Hard Day's Night US: Something New",158,22,"Rock, Pop/Rock","McCartney","McCartney",NA
"Think for Yourself",1965,"Rubber Soul",138,7,"Pop/Rock","Harrison","Harrison",NA
"This Boy",1963,"UK: Rarities US: Meet The Beatles!",133,23,"Doo Wop, Pop/Rock","Lennon","Lennon, with McCartney and Harrison",NA
"Three Cool Cats",1962,"Anthology 1",128,NA,"R&B, Pop/Rock","Leiber, Stoller","Harrison",NA
"Ticket to Ride",1965,"Help!",190,31,"Power Pop, Jangle Pop, Folk Rock, Pop/Rock","Lennon","Lennon, with McCartney",17
"Till There Was You",1963,"UK: With the Beatles US: Meet The Beatles!",136,22,"Pop/Rock","Willson","McCartney",NA
"Tip of My Tongue",1962,"",NA,NA,"Beat, Power Pop, Pop/Rock","Lennon and/or McCartney","McCartney/Lennon",NA
"To Know Her is to Love Her",1963,"Live at the BBC",138,NA,"Pop/Rock","Spector","Lennon",NA
"Tomorrow Never Knows",1966,"Revolver",178,14,"Psychedelic Rock, Hard Rock, Avant-Pop, Experimental Rock, Pop/Rock","Lennon","Lennon",NA
"Too Much Monkey Business",1963,"Live at the BBC",176,NA,"Rock and Roll, R&B, Pop/Rock","Berry","Lennon",NA
"Twist and Shout",1963,"UK: Please Please Me US: The Early Beatles",125,44,"Rock and Roll, R&B, Pop/Rock","Medley, Russell","Lennon",13
"Two of Us",1969,"Let It Be",213,11,"Folk Rock, Pop/Rock","McCartney","McCartney, with Lennon",NA
"Wait",1965,"Rubber Soul",136,8,"Folk Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",NA
"Watching Rainbows",1969,"",248,NA,"Rock, Pop/Rock","Lennon, with McCartney","Lennon",NA
"We Can Work It Out",1965,"UK: A Collection of Beatles Oldies US: Yesterday and Today",135,19,"Folk Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",9
"What Goes On",1965,"UK: Rubber Soul US: Yesterday and Today",170,9,"Country rock, Country, Pop/Rock","Lennon and McCartney, with Starkey","Starkey",NA
"What You're Doing",1964,"UK: Beatles for Sale US: Beatles VI",150,8,"Jangle pop, Pop/Rock","McCartney","McCartney",NA
"What's The New Mary Jane",1968,"Anthology 3",372,NA,"Psychedelic Rock, Musique Concrete, Experimental Music, Outsider Music, Pop/Rock","Lennon","Lennon",NA
"When I Get Home",1964,"UK: A Hard Day's Night US: Something New",138,14,"Rock and Roll, Pop/Rock","Lennon","Lennon",NA
"When I'm Sixty-Four",1966,"Sgt. Pepper's Lonely Hearts Club Band",157,7,"Music Hall, Pop/Rock","McCartney","McCartney",NA
"While My Guitar Gently Weeps",1968,"The Beatles",286,18,"Rock, Psychedelic Rock, Blues Rock, Pop/Rock","Harrison","Harrison",NA
"Why Don't We Do It in the Road?",1968,"The Beatles",102,8,"Rock, Blues, Pop/Rock","McCartney","McCartney",NA
"Wild Honey Pie",1968,"The Beatles",52,7,"Experimental pop, Lo-Fi, Psychedelic Folk, Pop/Rock","McCartney","McCartney",NA
"Winston's Walk",1960,"",NA,NA,"","Lennon","N/A",NA
"With a Little Help from My Friends",1967,"Sgt. Pepper's Lonely Hearts Club Band",164,6,"Pop Rock, Psychedelic Pop, Pop/Rock","Lennon and McCartney","Starkey",NA
"Within You Without You",1967,"Sgt. Pepper's Lonely Hearts Club Band",305,7,"Indian Classical, Raga Rock, Pop/Rock","Harrison","Harrison",NA
"Woman",1965,"",145,NA,"Folk Rock, Pop/Rock","McCartney (as Bernard Webb or A. Smith)","McCartney",NA
"Words of Love",1964,"UK: Beatles for Sale US: Beatles VI",122,16,"Pop/Rock","Holly","Lennon and McCartney",NA
"Yellow Submarine",1966,"Revolver",158,24,"Children's Music, Folk, Pop/Rock","McCartney","Starkey",25
"Yer Blues",1968,"The Beatles",241,11,"Blues Rock, Hard Rock, Pop/Rock","Lennon","Lennon",NA
"Yes It Is",1965,"UK: Rarities US: Beatles VI",161,16,"Pop/Rock","Lennon","Lennon, McCartney and Harrison",NA
"Yesterday",1965,"UK: Help! US: Yesterday and Today",123,33,"Baroque Pop, Pop/Rock","McCartney","McCartney",12
"You Can't Do That",1964,"UK: A Hard Day's Night US: The Beatles Second Album",157,25,"Rock and Roll, R&B, Pop/Rock","Lennon","Lennon",NA
"You Know My Name (Look Up the Number)",1967,"UK: Rarities US: Rarities",261,4,"Comedy Rock, Jazz, Experimental Rock, Avant-Garde, Novelty, Pop/Rock","Lennon, with McCartney","Lennon and McCartney",NA
"You Know What to Do",1964,"Anthology 1",119,NA,"Pop/Rock","Harrison","Harrison",NA
"You Like Me Too Much",1965,"UK: Help! US: Beatles VI",155,12,"Pop/Rock","Harrison","Harrison",NA
"You Never Give Me Your Money",1969,"Abbey Road",242,7,"Rock, Pop/Rock","McCartney","McCartney",NA
"You Won't See Me",1965,"Rubber Soul",202,11,"Pop/Rock","McCartney","McCartney",NA
"You'll Be Mine",1960,"Anthology 1",98,NA,"R&B, Experimental, Pop/Rock","Lennon and McCartney","McCartney",NA
"You're Going to Lose That Girl",1965,"Help!",140,6,"Rock, Pop/Rock","Lennon","Lennon",NA
"You've Got to Hide Your Love Away",1965,"Help!",131,12,"FolkPop/Rock","Lennon","Lennon",NA
"You've Really Got a Hold on Me",1963,"UK: With the Beatles US: The Beatles Second Album",182,2,"Soul, Pop/Rock","Robinson","Lennon and Harrison",NA
"Young Blood",1963,"Live at the BBC",116,NA,"Pop/Rock","Leiber, Stoller","Harrison",NA
"Your Mother Should Know",1967,"Magical Mystery Tour",149,13,"Music Hall, Vaudeville Rock, Psychedelic Pop, Pop/Rock","McCartney","McCartney",NA
"12-Bar Original",1965,"Anthology 2",174,NA,"Blues","Lennon, McCartney, Harrison and Starkey","",NA
